year,expenses,programs,software,depreciation_program,marketing,general,depreciation_support,fundraising,depreciation_fundraising,other
2005,8172528,NA,6075474,NA,768701,1328353,NA,NA,NA,NA
2006,19776193,540384,11775516,NA,4836238,2624055,NA,NA,NA,NA
2007,33327855,1152330,20735583,NA,6332459,5107483,NA,NA,NA,NA
2008,49396189,2141877,31260132,NA,6242970,9751210,NA,NA,NA,NA
2009,61158000,1007000,40206000,NA,7336000,12609000,NA,NA,NA,NA
2010,87348000,2493000,62842000,NA,9843000,12170000,NA,NA,NA,NA
2011,145484000,4259000,103133000,NA,17531000,19761000,NA,NA,NA,800000
2012,208587000,8074000,149018000,NA,29545000,21950000,NA,NA,NA,NA
2013,295460000,11629000,197469000,7449000,45973000,30183000,2757000,NA,NA,NA
2014,317849000,13351000,212847000,10218000,40712000,38065000,2656000,NA,NA,NA
2015,337698000,12964000,214187000,8716000,59951000,39577000,2303000,NA,NA,NA
2016,360600000,17015000,225942000,6947000,47311000,59911000,2248000,1224000,2000,NA
2017,421787000,20713000,252672000,6877000,65928000,72319000,2154000,1120000,4000,NA
2018,451371000,33484000,277767000,NA,52805000,86045000,NA,1270000,NA,NA
