year,revenue,royalties,royalties_search,royalties_product,subs_ads,product,services,interest,investments,contributions,other,forex,assets,released
2005,52906602,NA,50516268,171329,NA,841138,356500,577351,-62444,493867,12593,NA,NA,NA
2006,66840850,NA,61501145,94590,NA,1000416,137500,2162756,1791490,92602,60351,NA,NA,NA
2007,75125640,NA,68238803,76127,NA,1720623,NA,3264249,1778695,47143,NA,NA,NA,NA
2008,78597590,83600300,NA,NA,NA,NA,NA,2704415,-7754763,47638,NA,NA,NA,NA
2009,104305000,101537000,NA,NA,NA,NA,NA,1034000,-104000,50000,NA,1814000,-81000,55000
2010,123206000,121109000,NA,NA,NA,NA,NA,934000,1200000,150000,NA,-449000,-1000,263000
2011,163474000,161904000,NA,NA,NA,NA,NA,1007000,-237000,448000,NA,-550000,-19000,921000
2012,311005000,304539000,NA,NA,NA,NA,NA,922000,505000,855000,NA,159000,-38000,4063000
2013,314100000,306054000,NA,NA,NA,NA,NA,611000,446000,2293000,NA,-968000,-12000,5676000
2014,329558000,323343000,NA,NA,NA,NA,NA,963000,552000,4240000,196000,-5691000,-466000,6421000
2015,421275000,417380000,NA,NA,NA,NA,NA,1573000,-1874000,4543000,174000,-6012000,-20000,5511000
2016,520373000,503677000,NA,NA,NA,NA,NA,3018000,1076000,5440000,191000,-1241000,-124000,8336000
2017,562279000,539168000,NA,NA,2653000,NA,NA,4919000,819000,6438000,553000,2409000,-43000,5363000
2018,450860000,429695000,NA,NA,5377000,NA,NA,7905000,-1688000,6335000,864000,-2402000,-42000,4816000
